State_Code,Date,StringencyIndex,covid_cases,hate_crimes,hate_tweets
AK,2020-02-29,0.11374400117613706,0.0,0.0,0.0
AK,2020-03-31,0.48616146240714464,0.0038708724323492294,0.0,0.48948601831863725
AK,2020-04-30,0.9287843783800812,0.006864750329244336,0.0,0.0
AK,2020-05-31,0.7307390625524003,0.0032660486147946624,0.0,0.48948601831863725
AK,2020-06-30,0.5668058953868126,0.014546012812187339,0.0,0.0
AK,2020-07-31,0.5960079006462319,0.0619642001084654,0.0,0.0
AK,2020-08-31,0.6193380198147923,0.06946401544614203,0.0,0.24474300915931863
AK,2020-09-30,0.5784467640480115,0.07865733747297146,0.0,0.0
AK,2020-10-31,0.5784467640480115,0.2270206199191068,0.0,0.48948601831863725
AK,2020-11-30,0.5784467640480115,0.49580432444035644,0.0,0.0
AK,2020-12-31,0.6841967089165888,0.42271136608888693,0.0,0.24474300915931863
AK,2021-01-31,0.6241086663209167,0.21141616542619893,0.0,0.24474300915931863
AK,2021-02-28,0.5678260892393964,0.10793081024261249,0.0,0.24474300915931863
AL,2020-02-29,0.0,0.0,0.0,0.07271955524861327
AL,2020-03-31,0.3812624977261464,0.00474431733931745,0.0,0.25451844337014645
AL,2020-04-30,0.8394374757159209,0.027459533691200994,0.0,0.07271955524861327
AL,2020-05-31,0.7013747202355525,0.049437943183569324,0.0,0.10907933287291992
AL,2020-06-30,0.5325951410839362,0.09082941633426218,0.0,0.03635977762430664
AL,2020-07-31,0.509697879802997,0.2226459605914345,0.0,0.14543911049722655
AL,2020-08-31,0.4892448841257748,0.17071904789462478,0.0,0.10907933287291992
AL,2020-09-30,0.4406254266122003,0.12549078780474907,0.0,0.03635977762430664
AL,2020-10-31,0.4356957585558718,0.1710065822788258,0.0,0.10907933287291992
AL,2020-11-30,0.4356957585558718,0.2620920839240171,0.0,0.14543911049722655
AL,2020-12-31,0.4356957585558718,0.501927209420971,0.0,0.1817988881215332
AL,2021-01-31,0.4500334853526564,0.4341634419693375,0.0,0.10907933287291992
AL,2021-02-28,0.4674435821773236,0.1516923585650704,0.0,0.03635977762430664
AR,2020-02-29,0.0,0.0,0.0,0.05904785020234438
AR,2020-03-31,0.35944277629311555,0.004085833938270615,0.0,0.11809570040468877
AR,2020-04-30,0.7288872903693281,0.019663075827927336,0.0,0.0
AR,2020-05-31,0.7225129207391371,0.02916993586643914,0.0,0.05904785020234438
AR,2020-06-30,0.6979008054438343,0.09867288960923536,0.0,0.0
AR,2020-07-31,0.6683227971058628,0.15857413359709563,0.0,0.05904785020234438
AR,2020-08-31,0.641714009682128,0.13945097153958264,0.0,0.23619140080937753
AR,2020-09-30,0.541445703424449,0.1639659751692063,0.0,0.0
AR,2020-10-31,0.5796108754734441,0.20788869000561544,0.0,0.2952392510117219
AR,2020-11-30,0.5837000010501222,0.32955898778168824,0.0,0.11809570040468877
AR,2020-12-31,0.571432624320088,0.49452453303936433,0.0,0.17714355060703313
AR,2021-01-31,0.6144237013289469,0.5116777394480683,0.0,0.0
AR,2021-02-28,0.6048842502651559,0.1980680962897007,0.0,0.05904785020234438
AZ,2020-02-29,0.06338538439728231,0.0,0.0,0.07233639945782842
AZ,2020-03-31,0.3377556751490581,0.0038374266756417293,0.3681986729998824,0.21700919837348526
AZ,2020-04-30,0.6957918972560303,0.018945804526712545,0.0,0.45813052989958
AZ,2020-05-31,0.6649115085617151,0.03661048058251985,0.0,0.1928970652208758
AZ,2020-06-30,0.5653898054123305,0.176676554243443,0.0,0.2652334646787042
AZ,2020-07-31,0.6048271498629589,0.28252160088851136,0.0,0.506354796204799
AZ,2020-08-31,0.6686322444468006,0.08299328996636336,0.1840993364999412,0.24112133152609475
AZ,2020-09-30,0.6154478246715742,0.04976141330478895,0.0,0.21700919837348526
AZ,2020-10-31,0.5519521774286704,0.08191773792451038,0.0,0.1687849320682663
AZ,2020-11-30,0.5604182637277242,0.24121265612315995,0.0,0.24112133152609475
AZ,2020-12-31,0.5861203213238857,0.5764571626422272,0.0,0.1928970652208758
AZ,2021-01-31,0.6311228060488401,0.7099537286790898,0.0,0.2652334646787042
AZ,2021-02-28,0.6365749734844108,0.1744658627889972,0.0,0.04822426630521895
CA,2020-02-29,0.06229063185861151,1.909610659053398e-05,0.08676287168502361,0.1409090909090909
CA,2020-03-31,0.5506517618173484,0.006571868918112884,0.3123463380660849,0.48181818181818187
CA,2020-04-30,0.8798226868430172,0.023580883388340263,0.2776411893920755,0.27272727272727276
CA,2020-05-31,0.7487938413373545,0.03654489316253748,0.08676287168502361,0.1590909090909091
CA,2020-06-30,0.7105770947315362,0.06309241287473658,0.19087831770705188,0.25
CA,2020-07-31,0.7105770947315362,0.15202241961665947,0.17352574337004723,0.4318181818181818
CA,2020-08-31,0.6914908248101226,0.11822568085257738,0.12146802035903304,0.2590909090909091
CA,2020-09-30,0.6735760341079735,0.059838211651632056,0.06941029734801887,0.22272727272727272
CA,2020-10-31,0.6459394394446952,0.06255659858981395,0.19087831770705188,1.0
CA,2020-11-30,0.6182952313944574,0.16341942535004522,0.06941029734801887,0.4590909090909091
CA,2020-12-31,0.6651104389951751,0.572087901041543,0.08676287168502361,0.44090909090909086
CA,2021-01-31,0.6841340826690181,0.5682754195257622,0.01735257433700472,0.2590909090909091
CA,2021-02-28,0.6418282104865216,0.13042303811218403,0.01735257433700472,0.17727272727272728
CO,2020-02-29,0.006556701355707954,0.0,0.0,0.09243515866947545
CO,2020-03-31,0.4414794767138759,0.011235017151481537,0.0,0.2156820368954427
