State_Code,Date,StringencyIndex,covid_cases,hate_crimes,hate_tweets
AK,2020-02-29,15.328275862068969,0.0,0.0,0.0
AK,2020-03-31,47.93903225806452,175.0647602843708,0.0,2.735386879443294
AK,2020-04-30,86.69733333333333,310.46641081681383,0.0,0.0
AK,2020-05-31,69.35548387096775,147.71089148993786,0.0,2.735386879443294
AK,2020-06-30,55.00066666666667,657.8605445061122,0.0,0.0
AK,2020-07-31,57.55774193548388,2802.4038579896546,0.0,0.0
AK,2020-08-31,59.60064516129032,3141.591831040623,0.0,1.367693439721647
AK,2020-09-30,56.02,3557.370636716004,0.0,0.0
AK,2020-10-31,56.02,10267.274651990405,0.0,2.735386879443294
AK,2020-11-30,56.02,22423.333944236405,0.0,0.0
AK,2020-12-31,65.28,19117.61890042918,0.0,1.367693439721647
AK,2021-01-31,60.01838709677419,9561.544837094034,0.0,1.367693439721647
AK,2021-02-28,55.09,4881.297886366558,0.0,1.367693439721647
AL,2020-02-29,5.368275862068964,0.0,0.0,0.4063775263474869
AL,2020-03-31,38.75354838709678,214.5673339114731,0.0,1.4223213422162042
AL,2020-04-30,78.87366666666667,1241.88972051792,0.0,0.4063775263474869
AL,2020-05-31,66.7841935483871,2235.889149963873,0.0,0.6095662895212304
AL,2020-06-30,52.005,4107.867225083572,0.0,0.20318876317374346
AL,2020-07-31,50.0,10069.425536601204,0.0,0.8127550526949738
AL,2020-08-31,48.20903225806452,7720.969811839078,0.0,0.6095662895212304
AL,2020-09-30,43.95166666666667,5675.468532969003,0.0,0.20318876317374346
AL,2020-10-31,43.52,7733.973892682197,0.0,0.6095662895212304
AL,2020-11-30,43.52,11853.422877266674,0.0,0.8127550526949738
AL,2020-12-31,43.52,22700.24862177062,0.0,1.0159438158687173
AL,2021-01-31,44.77548387096774,19635.552506821048,0.0,0.6095662895212304
AL,2021-02-28,46.3,6860.465399798274,0.0,0.20318876317374346
AR,2020-02-29,5.368275862068964,0.0,0.0,0.329976155922973
AR,2020-03-31,36.84290322580645,184.7866473168649,0.0,0.659952311845946
AR,2020-04-30,69.19333333333334,889.2857402124123,0.0,0.0
AR,2020-05-31,68.63516129032259,1319.244671380046,0.0,0.329976155922973
AR,2020-06-30,66.48,4462.597532702287,0.0,0.0
AR,2020-07-31,63.89,7171.701772829895,0.0,0.329976155922973
AR,2020-08-31,61.56,6306.834268155783,0.0,1.319904623691892
AR,2020-09-30,52.78,7415.554152056972,0.0,0.0
AR,2020-10-31,56.12193548387096,9402.01061071327,0.0,1.649880779614865
AR,2020-11-30,56.48,14904.692986884767,0.0,0.659952311845946
AR,2020-12-31,55.4058064516129,22365.453872303187,0.0,0.989928467768919
AR,2021-01-31,59.17032258064517,23141.227814878097,0.0,0.0
AR,2021-02-28,58.335,8957.862704840949,0.0,0.329976155922973
AZ,2020-02-29,10.918620689655173,0.0,0.0,0.40423634297621164
AZ,2020-03-31,34.94387096774194,173.55213658445354,0.5389817906349489,1.2127090289286349
AZ,2020-04-30,66.29533333333333,856.8463016619099,0.0,2.560163505516007
AZ,2020-05-31,63.59129032258064,1655.7520608305629,0.0,1.0779635812698978
AZ,2020-06-30,54.87666666666667,7990.405046163118,0.0,1.4821999242461092
AZ,2020-07-31,58.33,12777.371819687414,0.0,2.8296544008334816
AZ,2020-08-31,63.91709677419355,3753.469189981784,0.26949089531747444,1.3474544765873722
AZ,2020-09-30,59.260000000000005,2250.518466796229,0.0,1.2127090289286349
AZ,2020-10-31,53.7,3704.82608337698,0.0,0.9432181336111605
AZ,2020-11-30,54.44133333333333,10909.126187899023,0.0,1.3474544765873722
AZ,2020-12-31,56.69193548387096,26070.953449355453,0.0,1.0779635812698978
AZ,2021-01-31,60.63258064516129,32108.492722600487,0.0,1.4821999242461092
AZ,2021-02-28,61.11,7890.4239240003335,0.0,0.26949089531747444
CA,2020-02-29,10.822758620689653,0.8636438893460839,0.1270064543156006,0.7874400167567235
CA,2020-03-31,53.586129032258064,297.22050438936844,0.45722323553616206,2.6925368314907323
CA,2020-04-30,82.41000000000001,1066.4731968880978,0.4064206538099218,1.5240774517872069
CA,2020-05-31,70.93645161290323,1652.7857925906364,0.1270064543156006,0.889045180209204
CA,2020-06-30,67.59,2853.4286078177347,0.2794141994943212,1.3970709974716062
CA,2020-07-31,67.59,6875.392799211584,0.2540129086312012,2.4131226319964107
CA,2020-08-31,65.91870967741936,5346.895522814195,0.1778090360418408,1.4478735791978465
CA,2020-09-30,64.35,2706.253528556817,0.10160516345248045,1.2446632522928855
CA,2020-10-31,61.93,2829.1957763343185,0.2794141994943212,5.588283989886425
CA,2020-11-30,59.50933333333333,7390.835793406018,0.10160516345248045,2.5655303771751314
CA,2020-12-31,63.60870967741935,25873.34845252034,0.1270064543156006,2.463925213722651
CA,2021-01-31,65.27451612903226,25700.92449014148,0.025401290863120114,1.4478735791978465
CA,2021-02-28,61.57,5898.5353564885745,0.025401290863120114,0.9906503436616845
CO,2020-02-29,5.942413793103448,0.0,0.0,0.516553917295241
CO,2020-03-31,44.02645161290323,508.11686997941877,0.0,1.2052924736888957
CO,2020-04-30,82.03933333333335,2222.559321482324,0.0,0.8609231954920684
CO,2020-05-31,76.19483870967741,1881.805920706563,0.34436927819682733,1.2052924736888957
CO,2020-06-30,66.757,1105.7697522900125,0.17218463909841367,1.3774771127873093
CO,2020-07-31,61.11,2521.4718549571703,0.0,1.7218463909841368
CO,2020-08-31,61.11,1835.143883510893,0.0,1.3774771127873093
CO,2020-09-30,58.39533333333334,2369.088449355074,0.17218463909841367,1.033107834590482
